load,clock ,otype,  ss,qLength, npa, npd,dropped,wt  ,st  ,lost%,avgDelay,avgQLength
10,0.13,Srv, BUSY,0,1,0,0,0,0,0,0,0
10,0.28,Q, BUSY,1,2,0,0,0,0,0,0,0.55
10,0.48,Q, BUSY,2,3,0,0,0,0,0,0,1.16
10,0.49,Q, BUSY,3,4,0,0,0,0,0,0,1.18
10,0.53,Q, BUSY,4,5,0,0,0,0,0,0,1.41
10,0.78,Q, BUSY,5,6,0,0,0,0,0,0,2.55
10,0.81,Q, BUSY,6,7,0,0,0,0,0,0,2.69
10,0.95,Q, BUSY,7,8,0,0,0,0,0,0,3.33
10,0.95,Q, BUSY,8,9,0,0,0,0,0,0,3.35
10,1.32,Q, BUSY,10,11,0,0,0,0,0,0,5.09
10,1.77,Dropped, BUSY,10,14,0,3,0,0,0.21,0,6.34
10,1.87,Dropped, BUSY,10,15,0,4,0,0,0.27,0,6.54
10,2.21,Dropped, BUSY,10,19,0,8,0,0,0.42,0,7.08
10,2.85,Dropped, BUSY,10,20,0,9,0,0,0.45,0,7.73
10,2.92,Dropped, BUSY,10,21,0,10,0,0,0.48,0,7.78
10,3.02,Dropped, BUSY,10,24,0,13,0,0,0.54,0,7.85
10,3.07,Dropped, BUSY,10,25,0,14,0,0,0.56,0,7.89
10,3.24,Dropped, BUSY,10,26,0,15,0,0,0.58,0,8
10,3.35,Dropped, BUSY,10,28,0,17,0,0,0.61,0,8.06
10,3.52,Dropped, BUSY,10,29,0,18,0,0,0.62,0,8.16
10,3.66,Dropped, BUSY,10,30,0,19,0,0,0.63,0,8.23
10,3.72,Dropped, BUSY,10,32,0,21,0,0,0.66,0,8.26
10,3.83,Dropped, BUSY,10,34,0,23,0,0,0.68,0,8.31
10,3.98,Dropped, BUSY,10,35,0,24,0,0,0.69,0,8.37
10,4.07,Dropped, BUSY,10,36,0,25,0,0,0.69,0,8.41
10,4.27,Dropped, BUSY,10,37,0,26,0,0,0.7,0,8.48
10,4.27,Dropped, BUSY,10,38,0,27,0,0,0.71,0,8.48
10,4.29,Dropped, BUSY,10,39,0,28,0,0,0.72,0,8.49
10,4.39,Dropped, BUSY,10,40,0,29,0,0,0.73,0,8.53
10,4.42,Dropped, BUSY,10,41,0,30,0,0,0.73,0,8.53
10,4.61,Dropped, BUSY,10,42,0,31,0,0,0.74,0,8.59
10,4.62,Dropped, BUSY,10,43,0,32,0,0,0.74,0,8.6
10,4.74,Dropped, BUSY,10,44,0,33,0,0,0.75,0,8.63
10,4.76,Dropped, BUSY,10,45,0,34,0,0,0.76,0,8.66
10,4.87,Dropped, BUSY,10,46,0,35,0,0,0.76,0,8.67
10,4.9,Dropped, BUSY,10,47,0,36,0,0,0.77,0,8.68
10,4.95,Dropped, BUSY,10,48,0,37,0,0,0.77,0,8.69
10,4.95,Dropped, BUSY,10,49,0,38,0,0,0.78,0,8.69
10,4.96,Dropped, BUSY,10,50,0,39,0,0,0.78,0,8.69
10,4.97,Dropped, BUSY,10,51,0,40,0,0,0.78,0,8.7
10,5.04,Dropped, BUSY,10,52,0,41,0,0,0.79,0,8.71
10,5.1,Dropped, BUSY,10,53,0,42,0,0,0.79,0,8.73
10,5.18,Dropped, BUSY,10,54,0,43,0,0,0.8,0,8.75
10,5.3,Dropped, BUSY,10,55,0,44,0,0,0.8,0,8.78
10,5.31,Dropped, BUSY,10,56,0,45,0,0,0.8,0,8.78
10,5.38,Dropped, BUSY,10,57,0,46,0,0,0.81,0,8.79
10,5.53,Dropped, BUSY,10,58,0,47,0,0,0.81,0,8.83
10,5.66,Dropped, BUSY,10,59,0,48,0,0,0.81,0,8.85
10,5.66,Dropped, BUSY,10,60,0,49,0,0,0.82,0,8.86
10,5.88,Dropped, BUSY,10,62,0,51,0,0,0.82,0,8.9
10,5.92,Dropped, BUSY,10,63,0,52,0,0,0.83,0,8.9
10,5.97,Dropped, BUSY,10,64,0,53,0,0,0.83,0,8.91
10,6.01,Dropped, BUSY,10,65,0,54,0,0,0.83,0,8.92
10,6.15,Dropped, BUSY,10,66,0,55,0,0,0.83,0,8.95
10,6.27,Dropped, BUSY,10,67,0,56,0,0,0.84,0,8.97
10,6.42,Dropped, BUSY,10,68,0,57,0,0,0.84,0,8.99
10,6.45,Dropped, BUSY,10,69,0,58,0,0,0.84,0,8.99
10,6.57,Dropped, BUSY,10,70,0,59,0,0,0.84,0,9.01
10,6.59,Dropped, BUSY,10,71,0,60,0,0,0.85,0,9.02
10,6.65,Dropped, BUSY,10,72,0,61,0,0,0.85,0,9.03
10,6.67,Dropped, BUSY,10,73,0,62,0,0,0.85,0,9.03
10,6.75,Dropped, BUSY,10,74,0,63,0,0,0.85,0,9.04
10,6.77,Dropped, BUSY,10,75,0,64,0,0,0.85,0,9.04
10,6.79,Dropped, BUSY,10,76,0,65,0,0,0.86,0,9.05
10,6.85,Dropped, BUSY,10,77,0,66,0,0,0.86,0,9.05
10,7.01,Dropped, BUSY,10,78,0,67,0,0,0.86,0,9.08
10,7.14,Dropped, BUSY,10,79,0,68,0,0,0.86,0,9.09
10,7.16,Dropped, BUSY,10,80,0,69,0,0,0.86,0,9.09
10,7.19,OUT, BUSY,9,80,1,69,0,7.06,0.86,0,9.09
10,7.2,Q, BUSY,10,81,1,69,0,0,0.85,0,9.1
10,7.24,OUT, BUSY,9,81,2,69,6.91,0.06,0.85,3.45,9.1
10,7.29,Q, BUSY,10,82,2,69,0,0,0.84,3.45,9.1
10,7.34,Dropped, BUSY,10,83,2,70,0,0,0.84,3.45,9.11
10,7.37,Dropped, BUSY,10,84,2,71,0,0,0.85,3.45,9.11
10,7.41,Dropped, BUSY,10,85,2,72,0,0,0.85,3.45,9.12
10,7.41,OUT, BUSY,9,85,3,72,6.76,0.17,0.85,4.56,9.12
10,7.47,Q, BUSY,10,86,3,72,0,0,0.84,4.56,9.12
10,7.54,Dropped, BUSY,10,87,3,73,0,0,0.84,4.56,9.13
10,7.57,OUT, BUSY,9,87,4,73,6.93,0.15,0.84,5.15,9.13
10,7.64,Q, BUSY,10,88,4,73,0,0,0.83,5.15,9.14
10,7.74,Dropped, BUSY,10,89,4,74,0,0,0.83,5.15,9.15
10,7.78,OUT, BUSY,9,89,5,74,7.04,0.22,0.83,5.53,9.15
10,7.86,Q, BUSY,10,90,5,74,0,0,0.82,5.53,9.16
10,7.91,Dropped, BUSY,10,91,5,75,0,0,0.82,5.53,9.16
10,7.94,OUT, BUSY,9,91,6,75,7.01,0.15,0.82,5.77,9.16
10,7.97,OUT, BUSY,8,91,7,75,7.13,0.03,0.82,5.97,9.16
10,7.97,OUT, BUSY,7,91,8,75,7.02,0,0.82,6.1,9.16
10,8,Q, BUSY,8,92,8,75,0,0,0.82,6.1,9.15
10,8.07,Q, BUSY,9,93,8,75,0,0,0.81,6.1,9.15
10,8.1,Q, BUSY,10,94,8,75,0,0,0.8,6.1,9.15
10,8.12,Q, BUSY,10,95,9,75,0,0,0.79,6.2,9.15
10,8.21,OUT, BUSY,9,95,10,75,7.02,0.1,0.79,6.28,9.15
10,8.38,OUT, BUSY,8,95,11,75,6.89,0.18,0.79,6.34,9.13
10,8.4,Q, BUSY,9,96,11,75,0,0,0.78,6.34,9.13
10,8.51,OUT, BUSY,8,96,12,75,1.18,0.13,0.78,5.91,9.11
10,8.53,Q, BUSY,9,97,12,75,0,0,0.77,5.91,9.11
10,8.6,Q, BUSY,10,98,12,75,0,0,0.77,5.91,9.12
10,8.6,Dropped, BUSY,10,99,12,76,0,0,0.77,5.91,9.12
10,8.64,OUT, BUSY,9,99,13,76,1.23,0.12,0.77,5.55,9.12
10,8.64,Q, BUSY,10,100,13,76,0,0,0.76,5.55,9.12
10,8.64,Dropped, BUSY,10,101,13,77,0,0,0.76,5.55,9.12
10,8.69,Dropped, BUSY,10,102,13,78,0,0,0.76,5.55,9.12
10,8.7,Dropped, BUSY,10,103,13,79,0,0,0.77,5.55,9.13
10,8.7,OUT, BUSY,9,103,14,79,1.16,0.07,0.77,5.23,9.13
10,8.74,Q, BUSY,10,104,14,79,0,0,0.76,5.23,9.13
10,8.76,OUT, BUSY,9,104,15,79,1.06,0.05,0.76,4.96,9.13
