load	clock 	otype	  ss	qLength	 npa	 npd	dropped	wt  	st  	lost%	avgDelay	avgQLength
10	0.03	Srv	 BUSY	   0	   1	   0	   0	0.00	0.00	  0.00	  0.00	  0.00
10	0.15	Q	 BUSY	   1	   2	   0	   0	0.00	0.00	  0.00	  0.00	  0.78
10	0.17	OUT	 BUSY	   0	   2	   1	   0	0.00	0.14	  0.00	  0.00	  0.66
10	0.30	OUT	 IDEL	   0	   2	   2	   0	0.03	0.12	  0.00	  0.01	  0.39
10	0.32	Srv	 BUSY	   0	   3	   2	   0	0.00	0.00	  0.00	  0.01	  0.36
10	0.49	Q	 BUSY	   1	   4	   2	   0	0.00	0.00	  0.00	  0.01	  0.59
10	0.50	OUT	 BUSY	   0	   4	   3	   0	0.00	0.18	  0.00	  0.01	  0.59
10	0.51	Q	 BUSY	   1	   5	   3	   0	0.00	0.00	  0.00	  0.01	  0.59
10	0.62	OUT	 BUSY	   0	   5	   4	   0	0.01	0.12	  0.00	  0.01	  0.49
10	0.63	OUT	 IDEL	   0	   5	   5	   0	0.11	0.01	  0.00	  0.03	  0.48
10	1.16	Srv	 BUSY	   0	   6	   5	   0	0.00	0.00	  0.00	  0.03	  0.26
10	1.18	Q	 BUSY	   1	   7	   5	   0	0.00	0.00	  0.00	  0.03	  0.27
10	1.39	OUT	 BUSY	   0	   7	   6	   0	0.00	0.23	  0.00	  0.02	  0.23
10	1.43	OUT	 IDEL	   0	   7	   7	   0	0.21	0.04	  0.00	  0.05	  0.22
10	1.57	Srv	 BUSY	   0	   8	   7	   0	0.00	0.00	  0.00	  0.05	  0.20
10	1.60	OUT	 IDEL	   0	   8	   8	   0	0.00	0.03	  0.00	  0.04	  0.20
10	1.67	Srv	 BUSY	   0	   9	   8	   0	0.00	0.00	  0.00	  0.04	  0.19
10	1.72	OUT	 IDEL	   0	   9	   9	   0	0.00	0.05	  0.00	  0.04	  0.19
10	1.76	Srv	 BUSY	   0	  10	   9	   0	0.00	0.00	  0.00	  0.04	  0.18
10	1.79	Q	 BUSY	   1	  11	   9	   0	0.00	0.00	  0.00	  0.04	  0.20
10	1.80	Q	 BUSY	   2	  12	   9	   0	0.00	0.00	  0.00	  0.04	  0.20
10	1.80	OUT	 BUSY	   1	  12	  10	   0	0.00	0.04	  0.00	  0.04	  0.20
10	1.80	Q	 BUSY	   2	  13	  10	   0	0.00	0.00	  0.00	  0.04	  0.20
10	1.83	Q	 BUSY	   3	  14	  10	   0	0.00	0.00	  0.00	  0.04	  0.25
10	1.88	OUT	 BUSY	   2	  14	  11	   0	0.01	0.08	  0.00	  0.03	  0.30
10	1.90	Q	 BUSY	   3	  15	  11	   0	0.00	0.00	  0.00	  0.03	  0.31
10	1.90	OUT	 BUSY	   2	  15	  12	   0	0.09	0.01	  0.00	  0.04	  0.31
10	1.95	Q	 BUSY	   3	  16	  12	   0	0.00	0.00	  0.00	  0.04	  0.38
10	1.96	OUT	 BUSY	   2	  16	  13	   0	0.09	0.06	  0.00	  0.04	  0.39
10	1.97	Q	 BUSY	   3	  17	  13	   0	0.00	0.00	  0.00	  0.04	  0.40
10	1.98	OUT	 BUSY	   2	  17	  14	   0	0.13	0.02	  0.00	  0.05	  0.42
10	2.02	Q	 BUSY	   3	  18	  14	   0	0.00	0.00	  0.00	  0.05	  0.47
10	2.08	Q	 BUSY	   4	  19	  14	   0	0.00	0.00	  0.00	  0.05	  0.57
10	2.15	OUT	 BUSY	   3	  19	  15	   0	0.09	0.17	  0.00	  0.05	  0.64
10	2.32	Q	 BUSY	   4	  20	  15	   0	0.00	0.00	  0.00	  0.05	  0.88
10	2.42	OUT	 BUSY	   3	  20	  16	   0	0.20	0.27	  0.00	  0.06	  0.98
10	2.43	OUT	 BUSY	   2	  20	  17	   0	0.46	0.01	  0.00	  0.08	  0.98
10	2.44	Q	 BUSY	   3	  21	  17	   0	0.00	0.00	  0.00	  0.08	  0.99
10	2.57	OUT	 BUSY	   2	  21	  18	   0	0.41	0.14	  0.00	  0.10	  1.04
10	2.61	Q	 BUSY	   3	  22	  18	   0	0.00	0.00	  0.00	  0.10	  1.07
10	2.64	OUT	 BUSY	   2	  22	  19	   0	0.49	0.07	  0.00	  0.12	  1.08
10	2.65	Q	 BUSY	   3	  23	  19	   0	0.00	0.00	  0.00	  0.12	  1.09
10	2.66	Q	 BUSY	   4	  24	  19	   0	0.00	0.00	  0.00	  0.12	  1.10
10	2.66	Q	 BUSY	   5	  25	  19	   0	0.00	0.00	  0.00	  0.12	  1.10
10	2.68	OUT	 BUSY	   4	  25	  20	   0	0.32	0.04	  0.00	  0.13	  1.12
10	2.69	OUT	 BUSY	   3	  25	  21	   0	0.23	0.02	  0.00	  0.14	  1.13
10	2.80	OUT	 BUSY	   2	  25	  22	   0	0.09	0.11	  0.00	  0.13	  1.16
10	2.86	OUT	 BUSY	   1	  25	  23	   0	0.15	0.05	  0.00	  0.14	  1.16
10	2.86	OUT	 BUSY	   0	  25	  24	   0	0.20	0.01	  0.00	  0.14	  1.16
10	2.89	OUT	 IDEL	   0	  25	  25	   0	0.20	0.02	  0.00	  0.14	  1.15
10	2.89	Srv	 BUSY	   0	  26	  25	   0	0.00	0.00	  0.00	  0.14	  1.15
10	2.97	OUT	 IDEL	   0	  26	  26	   0	0.00	0.08	  0.00	  0.14	  1.11
